company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
Zoom,SF Bay Area,1300,2023-02-07,0.15,Other,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html,Post-IPO,276,United States,2023-02-07
Affirm,SF Bay Area,500,2023-02-08,0.19,Finance,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,Post-IPO,1500,United States,2023-02-08
Beam Benefits,Columbus,31,2023-02-08,0.08,Healthcare,https://www.bizjournals.com/columbus/inno/stories/news/2023/02/16/beam-benefits-job-cuts.html,Series E,168,United States,2023-02-17
Equitybee,SF Bay Area,24,2023-02-08,0.25,Finance,https://www.calcalistech.com/ctechnews/article/h1jkvzwpo,Series B,85,United States,2023-02-09
GoDaddy,Phoenix,530,2023-02-08,0.08,Marketing,https://techstartups.com/2023/02/08/godaddy-to-lay-off-8-of-its-workforce-or-about-530-employees-amid-global-economic-slowdown/,Post-IPO,800,United States,2023-02-08
Gong,SF Bay Area,80,2023-02-08,0.07,Sales,https://www.calcalistech.com/ctechnews/article/hjyj6811as,Series E,583,United States,2023-02-08
Gusto,SF Bay Area,126,2023-02-08,0.05,HR,https://gusto.com/company-news/josh-reeves-message-to-all-gusto,Series E,746,United States,2023-02-08
Bark,New York City,126,2023-02-09,0.12,Retail,https://investors.bark.co/news/news-details/2023/BARK-Reports-Third-Quarter-Fiscal-Year-2023-Results/default.aspx,Post-IPO,,United States,2023-02-10
Deliveroo,"London, Non-U.S.",350,2023-02-09,0.09,Food,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,Post-IPO,1700,United Kingdom,2023-02-09
GitLab,SF Bay Area,130,2023-02-09,0.07,Product,https://www.cnbc.com/2023/02/09/gitlab-layoffs-company-to-cut-7percent-of-staff-or-about-130-employees.html,Post-IPO,413,United States,2023-02-09
Misfits Market,Philadelphia,649,2023-02-09,0.33,Food,https://www.bizjournals.com/philadelphia/inno/stories/news/2023/02/09/misfits-market-layoffs-delanco-philadelphia.html,Series C,526,United States,2023-02-16
Olive AI,Columbus,215,2023-02-09,0.35,Healthcare,https://www.axios.com/pro/health-tech-deals/2023/02/09/olive-ai-lays-off-third-company,Series H,856,United States,2023-02-10
Oportun,SF Bay Area,155,2023-02-09,0.1,Finance,https://seekingalpha.com/news/3934558-oportun-financial-to-lay-off-10-of-headcount-reports-q4-prelim-results,Post-IPO,566,United States,2023-03-02
REE Automotive,"Tel Aviv, Non-U.S.",100,2023-02-09,0.5,Transportation,https://www.calcalistech.com/ctechnews/article/6gilogwwn,Post-IPO,317,Israel,2025-12-08
REE Automotive,"Tel Aviv, Non-U.S.",31,2023-02-09,0.11,Transportation,https://www.calcalistech.com/ctechnews/article/s16tkompi,Post-IPO,317,Israel,2023-02-11
Veriff,"Tallinn, Non-U.S.",66,2023-02-09,0.12,Security,https://digipro.geenius.ee/rubriik/uudis/veriff-koondab-66-tootajat-kotkas-meie-kasvuplaan-oli-oluliselt-ambitsioonikam/,Series C,192,Estonia,2023-02-09
Yahoo,SF Bay Area,1600,2023-02-09,0.2,Consumer,https://www.axios.com/2023/02/09/yahoo-layoffs-2023-tech-media-companies,Acquired,6,United States,2023-02-09
Syft Technologies,"Auckland, Non-U.S.",30,2023-02-10,0.2,Manufacturing,https://www.stuff.co.nz/business/better-business/131199817/christchurch-tech-company-syft-to-shed-20-of-its-workforce,Private Equity,,New Zealand,2023-04-22
Titan Medical,"Toronto, Non-U.S.",48,2023-02-10,0.72,Healthcare,https://www.fiercebiotech.com/medtech/titan-medical-lays-70-staff-search-buyer-comes-short,Post-IPO,278,Canada,2023-03-10
TripleLift,New York City,100,2023-02-10,0.2,Marketing,https://www.adexchanger.com/online-advertising/triplelift-announces-layoffs-the-latest-in-a-miserable-trend/,Acquired,16,United States,2023-02-13
Moladin,"Jakarta, Non-U.S.",360,2023-02-12,0.11,Transportation,https://aimgroup.com/2023/02/12/used-car-marketplace-moladin-lays-off-360/,Series B,138,Indonesia,2023-02-13
Electric,New York City,141,2023-02-13,0.25,Other,https://www.electric.ai/blog/open-letter-feb-2023,Series D,212,United States,2023-02-14
EMX Digital,New York City,100,2023-02-13,1,Marketing,https://www.businessinsider.com/big-village-bankruptcy-emx-digital-employees-furious-about-layoffs-severance-2023-2,Unknown,,United States,2023-02-24
iRobot,Boston,85,2023-02-13,0.07,Consumer,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,Acquired,30,United States,2023-02-14
Twilio,SF Bay Area,1500,2023-02-13,0.17,Other,https://www.cnbc.com/2023/02/13/twilio-layoffs-1500-employees-17percent-of-workforce.html,Post-IPO,614,United States,2023-02-13
Blackbaud,Charleston,500,2023-02-14,0.14,Other,https://www.postandcourier.com/business/sc-tech-employer-blackbaud-has-cut-about-500-jobs-since-last-year/article_ef9dd60a-ac9b-11ed-8c4a-bbbeb9f0cda5.html,Post-IPO,,United States,2023-02-15
CommerceHub,Albany,371,2023-02-14,0.31,Retail,https://www.bizjournals.com/albany/news/2023/02/14/commercehub-channeladvisor-tech-layoffs.html,Acquired,,United States,2023-02-15
Dropp,"Berlin, Non-U.S.",60,2023-02-14,1,Retail,https://www.businessinsider.de/gruenderszene/business/dropp-insolvenz-betrieb-eingestellt-arive/,Unknown,2,Germany,2023-04-09
DigitalOcean,New York City,200,2023-02-15,0.11,Infrastructure,https://www.theregister.com/2023/02/15/digitalocean_layoffs/,Post-IPO,491,United States,2023-02-15
Neon,"Sao Paulo, Non-U.S.",210,2023-02-15,0.09,Finance,https://www.seudinheiro.com/2023/empresas/unicornio-neon-banco-digital-demissao-em-massa-lils/,Series D,720,Brazil,2023-02-15
ServiceTitan,Los Angeles,221,2023-02-15,0.08,Sales,https://www.theinformation.com/briefings/servicetitan-cuts-8-percent-of-workforce,Series G,1100,United States,2023-02-16
Sprinklr,New York City,100,2023-02-15,0.04,Support,https://techcrunch.com/2023/02/15/sprinklr-layoffs-2023/,Post-IPO,429,United States,2023-02-15
Wix,"Tel Aviv, Non-U.S.",370,2023-02-15,0.06,Marketing,https://www.calcalistech.com/ctechnews/article/s1lsqn5as,Post-IPO,58,Israel,2023-02-15
DocuSign,SF Bay Area,680,2023-02-16,0.1,Sales,https://www.cnbc.com/2023/02/16/docusign-layoffs-company-to-cut-10percent-of-workforce.html,Post-IPO,536,United States,2023-02-16
Pico Interactive,SF Bay Area,400,2023-02-16,0.2,Other,https://pandaily.com/pico-starts-small-scale-layoffs-new-products-to-be-unveiled-in-april/,Acquired,62,United States,2023-02-16
Smartsheet,Seattle,85,2023-02-16,0.03,Other,https://www.bizjournals.com/seattle/news/2023/02/16/smartsheet-lays-off-85-employees-globally.html,Post-IPO,152,United States,2023-02-17
The RealReal,SF Bay Area,230,2023-02-16,0.07,Retail,https://www.theinformation.com/briefings/the-realreal-to-cut-7-of-headcount-close-some-stores-and-offices,Post-IPO,356,United States,2023-02-16
Chipper Cash,SF Bay Area,100,2023-02-17,0.33,Finance,https://techweez.com/2023/02/18/chipper-cash-fires-a-third-of-its-workforce/,Series C,302,United States,2023-02-20
Micron,Boise,2400,2023-02-17,0.05,Hardware,https://www.ktvb.com/article/money/business/micron-workforce-reduction-15-percent-worldwide-computer-memory-semiconductors-technology/277-d45fa4ac-e85f-4594-8ced-af9f4dc8911a,Post-IPO,50,United States,2023-04-01
Fireblocks,New York City,30,2023-02-20,0.05,Crypto,https://www.calcalistech.com/ctechnews/article/rksbjrxro,Series E,1000,United States,2023-02-22
Kinde,"Sydney, Non-U.S.",8,2023-02-20,0.28,Other,https://www.news.com.au/finance/work/at-work/sydney-technology-company-kinde-lays-off-285-of-staff-as-focus-moves-to-product-team/news-story/618e97ecfe4b7e088a6ff39a70a78bcb,Seed,10,Australia,2023-02-20
